INDEX:35839:<long>,Verse_ID:35839:<long>,OT_NT:35839:<string>,Book:35839:<string>,Book_Num:35839:<long>,Chapter_Num:35839:<string>,Verse_Num:35839:<long>,Verse_Code:35839:<string>,Verse:35839:<string>,Characters:35839:<long>,Typed:35839:<long>,Best_WPM:35839:<double>
0,1,OT,Genesis,1,1,1,Genesis_1:1,"In the beginning,0,47,0
1,2,OT,Genesis,1,1,2,Genesis_1:2,"But the earth was empty and unoccupied,0,141,0
2,3,OT,Genesis,1,1,3,Genesis_1:3,"And God said,0,53,0
3,4,OT,Genesis,1,1,4,Genesis_1:4,"And God saw the light,0,89,0
4,5,OT,Genesis,1,1,5,Genesis_1:5,"And he called the light,0,0,0
5,6,OT,Genesis,1,1,6,Genesis_1:6,"God also said,0,0,107
6,7,OT,Genesis,1,1,7,Genesis_1:7,"And God made a firmament,0,0,142
7,8,OT,Genesis,1,1,8,Genesis_1:8,"And God called the firmament 'Heaven.' And it became evening and morning,0,89,0
8,9,OT,Genesis,1,1,9,Genesis_1:9,"Truly God said: ""Let the waters that are under heaven be gathered together into one place; and let the dry land appear."" And so it became.",138,0,0
9,10,OT,Genesis,1,1,10,Genesis_1:10,"And God called the dry land,0,0,0
10,11,OT,Genesis,1,1,11,Genesis_1:11,"And he said,0,0,0
11,12,OT,Genesis,1,1,12,Genesis_1:12,"And the land brought forth green plants,0,0,0
12,13,OT,Genesis,1,1,13,Genesis_1:13,"And it became evening and the morning,0,53,0
13,14,OT,Genesis,1,1,14,Genesis_1:14,"Then God said: ""Let there be lights in the firmament of heaven. And let them divide day from night,0,0,0
14,15,OT,Genesis,1,1,15,Genesis_1:15,"Let them shine in the firmament of heaven and illuminate the earth."" And so it became.",86,0,0
15,16,OT,Genesis,1,1,16,Genesis_1:16,"And God made two great lights: a greater light,0,0,0
16,17,OT,Genesis,1,1,17,Genesis_1:17,"And he set them in the firmament of heaven,0,0,77
17,18,OT,Genesis,1,1,18,Genesis_1:18,"and to rule over the day as well as the night,0,111,0
18,19,OT,Genesis,1,1,19,Genesis_1:19,"And it became evening and morning,0,50,0
19,20,OT,Genesis,1,1,20,Genesis_1:20,"And then God said,0,0,0
20,21,OT,Genesis,1,1,21,Genesis_1:21,"And God created the great sea creatures,0,0,0
21,22,OT,Genesis,1,1,22,Genesis_1:22,"And he blessed them,0,0,133
22,23,OT,Genesis,1,1,23,Genesis_1:23,"And it became evening and morning,0,49,0
23,24,OT,Genesis,1,1,24,Genesis_1:24,"God also said,0,0,0
24,25,OT,Genesis,1,1,25,Genesis_1:25,"And God made the wild beasts of the earth according to their species,0,0,0
25,26,OT,Genesis,1,1,26,Genesis_1:26,"And he said: ""Let us make Man to our image and likeness. And let him rule over the fish of the sea,0,0,0
26,27,OT,Genesis,1,1,27,Genesis_1:27,"And God created man to his own image; to the image of God he created him; male and female,0,107,0
27,28,OT,Genesis,1,1,28,Genesis_1:28,"And God blessed them,0,0,0
28,29,OT,Genesis,1,1,29,Genesis_1:29,"And God said: ""Behold,0,0,0
29,30,OT,Genesis,1,1,30,Genesis_1:30,"and for all the animals of the land,0,0,0
30,31,OT,Genesis,1,1,31,Genesis_1:31,"And God saw everything that he had made. And they were very good. And it became evening and morning,0,115,0
31,32,OT,Genesis,1,2,1,Genesis_2:1,"And so the heavens and the earth were completed,0,74,0
32,33,OT,Genesis,1,2,2,Genesis_2:2,"And on the seventh day,0,0,0
33,34,OT,Genesis,1,2,3,Genesis_2:3,"And he blessed the seventh day and sanctified it. For in it,0,147,0
34,35,OT,Genesis,1,2,4,Genesis_2:4,"These are the generations of heaven and earth,0,0,0
35,36,OT,Genesis,1,2,5,Genesis_2:5,"and every sapling of the field,0,0,0
36,37,OT,Genesis,1,2,6,Genesis_2:6,"But a fountain ascended from the earth,0,82,0
37,38,OT,Genesis,1,2,7,Genesis_2:7,"And then the Lord God formed man from the clay of the earth,0,0,140
38,39,OT,Genesis,1,2,8,Genesis_2:8,"Now the Lord God had planted a Paradise of enjoyment from the beginning. In it,0,117,0
39,40,OT,Genesis,1,2,9,Genesis_2:9,"And from the soil the Lord God produced every tree that was beautiful to behold and pleasant to eat. And even the tree of life was in the midst of Paradise,0,204,0
40,41,OT,Genesis,1,2,10,Genesis_2:10,"And a river went forth from the place of enjoyment so as to irrigate Paradise,0,123,0
