Test_Number,Unix_Test_Start_Time,Word,WPM,Error_Rate,Error_and_Backspace_Rate
,,In,67.396336,0,0
,,the,228.10688,0,0
,,beginning,152.201015,0,0
,,God,124.835953,0,0
,,created,218.262292,0,0
,,heaven,149.168269,0,0
,,and,194.422181,0,0
,,earth,38.65847,0.2,0.4
,,In,77.537015,0,0
,,the,228.349086,0,0
,,beginning,160.86569,0,0
,,God,119.709193,0,0
,,created,227.22711,0,0
,,heaven,181.999483,0,0
,,and,210.733726,0,0
,,earth,190.000163,0,0
,,But,49.757225,0,0
,,the,227.523253,0,0
,,earth,191.318437,0,0
,,was,12.227659,3.333333,6.666667
,,empty,145.192353,0,0
,,and,214.642943,0,0
,,unoccupied,131.245141,0,0
,,and,127.694484,0,0
,,darknesses,133.92523,0,0
,,were,159.033141,0,0
,,over,25.382284,1.75,2.25
,,the,227.885172,0,0
,,face,176.479694,0,0
,,of,186.581087,0,0
,,the,193.064876,0,0
,,abyss,91.879733,0,0
,,and,254.063934,0,0
,,so,155.669118,0,0
,,the,259.744531,0,0
,,Spirit,112.133383,0,0
,,of,186.662418,0,0
,,God,127.884498,0,0
,,was,196.39044,0,0
,,brought,209.755706,0,0
,,over,159.590056,0,0
,,the,235.391096,0,0
,,waters,132.745155,0,0
,,And,53.380629,0,0
,,God,126.096258,0,0
,,said,208.964509,0,0
,,Let,100.803418,0,0
,,there,200.514123,0,0
,,be,112.110192,0,0
,,light,176.868913,0,0
,,And,133.099138,0,0
,,light,186.191965,0,0
,,became,41.115653,0.166667,0.333333
,,And,64.593054,0,0
,,God,100.855837,0,0
,,saw,168.544558,0,0
,,the,209.314193,0,0
,,light,200.255117,0,0
,,that,186.930159,0,0
,,it,210.266953,0,0
,,was,191.658425,0,0
,,good,121.025938,0,0
,,and,19.335909,1.666667,3.333333
,,so,98.644766,0,0
,,he,140.747767,0,0
,,divided,165.509288,0,0
,,the,194.147209,0,0
,,light,191.690406,0,0
,,from,43.793376,0.5,1
,,the,195.061742,0,0
,,darknesses,138.438517,0,0
,,And,59.142638,0,0
,,he,170.455292,0,0
,,called,85.749893,0,0
,,the,209.442549,0,0
,,light,190.64461,0,0
,,Day,69.976742,0,0
,,and,157.184131,0,0
,,the,252.511915,0,0
,,darknesses,131.827682,0,0
,,Night,114.296499,0,0
,,And,81.034173,0,0
,,it,129.21838,0,0
,,became,154.158537,0,0
,,evening,178.438951,0,0
,,and,235.780272,0,0
,,morning,147.003795,0,0
,,one,167.461369,0,0
,,day,199.390711,0,0
,,God,101.60024,0,0
,,also,134.770401,0,0
,,said,197.601749,0,0
,,Let,97.745466,0,0
,,there,190.970094,0,0
,,be,139.648697,0,0
,,a,227.360868,0,0
,,firmament,161.016853,0,0
,,in,153.407058,0,0
,,the,232.596407,0,0
,,midst,95.617927,0,0
,,of,154.775075,0,0
,,the,252.369618,0,0
,,waters,123.058469,0,0
,,and,314.774607,0,0
,,let,167.770514,0,0
,,it,130.259261,0,0
,,divide,143.475176,0,0
,,waters,133.947303,0,0
,,from,167.604447,0,0
,,waters,106.088901,0,0
,,And,109.622947,0,0
,,God,114.731665,0,0
,,said,213.754312,0,0
,,Let,101.230339,0,0
,,there,200.569148,0,0
,,be,143.15356,0,0
,,light,199.401832,0,0
,,And,157.494058,0,0
,,light,169.860151,0,0
,,became,173.699374,0,0
,,In,85.270455,0,0
,,the,229.765289,0,0
,,beginning,160.886605,0,0
,,God,42.057885,0.333333,0.666667
,,created,221.014384,0,0
,,heaven,179.960247,0,0
,,and,250.177595,0,0
,,earth,51.410873,0.2,0.4
,,In,79.911375,0,0
,,the,228.556207,0,0
,,beginning,158.336742,0,0
,,God,89.794285,0,0
,,created,204.805871,0,0
,,heaven,87.446883,0,0
,,and,278.974224,0,0
,,earth,210.149477,0,0
,,And,110.022152,0,0
,,God,107.136113,0,0
,,made,160.064072,0,0
,,a,119.954914,0,0
,,firmament,154.853169,0,0
,,and,251.244589,0,0
,,he,154.961596,0,0
,,divided,155.776898,0,0
,,the,193.89736,0,0
,,waters,123.001965,0,0
,,that,109.458306,0,0
,,were,160.441197,0,0
,,under,210.166504,0,0
,,the,213.076703,0,0
,,firmament,160.894875,0,0
,,from,168.791576,0,0
,,those,234.922262,0,0
,,that,93.452617,0,0
,,were,154.63942,0,0
,,above,120.001913,0,0
,,the,229.144189,0,0
,,firmament,146.072224,0,0
,,And,158.613097,0,0
,,so,113.580097,0,0
,,it,167.980341,0,0
,,became,158.771139,0,0
,,And,132.690538,0,0
,,God,104.922517,0,0
,,called,136.83714,0,0
,,the,226.080752,0,0
,,firmament,161.243054,0,0
,,Heaven,116.831031,0,0
,,And,101.030117,0,0
,,it,210.946875,0,0
,,became,180.086072,0,0
,,evening,180.054028,0,0
,,and,251.810963,0,0
,,morning,152.139642,0,0
,,the,192.523337,0,0
,,second,173.952528,0,0
,,day,168.241844,0,0
,,Truly,108.566584,0,0
,,God,133.554095,0,0
,,said,223.621552,0,0
,,Let,97.038977,0,0
,,the,230.948396,0,0
,,waters,133.501786,0,0
,,that,168.076899,0,0
,,are,115.051712,0,0
,,under,193.840986,0,0
,,heaven,114.680605,0,0
,,be,152.898342,0,0
,,gathered,193.569268,0,0
,,together,197.866626,0,0
,,into,209.580964,0,0
,,one,120.031263,0,0
,,place,198.720029,0,0
,,and,249.642533,0,0
,,let,147.997747,0,0
,,the,21.428725,1.666667,3.333333
,,dry,133.64685,0,0
,,land,168.350801,0,0
